subjid,type,rho,noise,omega_rational,omega_lottery,omega_surebet,delta_rhos,delta_noises,delta_omega_rationals,delta_omega_lotterys,delta_omega_surebets
2225,uni_fof_opto,"0.78 [0.71, 0.86]","0.06 [0.05, 0.06]","0.98 [0.96, 0.99]","0.01 [0.00, 0.02]","0.02 [0.01, 0.03]","-0.08 [-0.13, -0.02]","0.00 [-0.00, 0.01]","-0.01 [-0.03, 0.00]","-0.00 [-0.01, 0.01]","0.02 [0.00, 0.03]"
2228,uni_fof_opto,"0.63 [0.58, 0.69]","0.06 [0.05, 0.07]","0.97 [0.96, 0.99]","0.01 [0.00, 0.02]","0.02 [0.01, 0.03]","-0.06 [-0.11, -0.02]","0.00 [-0.00, 0.01]","-0.02 [-0.03, 0.00]","-0.00 [-0.01, 0.01]","0.02 [0.00, 0.03]"
2240,uni_fof_opto,"1.28 [1.14, 1.42]","0.04 [0.03, 0.05]","0.98 [0.96, 0.99]","0.01 [0.00, 0.02]","0.02 [0.01, 0.03]","-0.13 [-0.21, -0.04]","0.00 [-0.00, 0.01]","-0.01 [-0.03, 0.00]","-0.00 [-0.01, 0.01]","0.02 [0.00, 0.03]"
2152,bi_fof_muscimol,"0.64 [0.58, 0.71]","0.05 [0.04, 0.06]","0.84 [0.79, 0.88]","0.14 [0.10, 0.18]","0.03 [0.01, 0.04]","-0.10 [-0.27, 0.04]","0.03 [-0.01, 0.09]","-0.14 [-0.41, 0.17]","-0.09 [-0.15, -0.03]","0.23 [-0.03, 0.49]"
2153,bi_fof_muscimol,"0.76 [0.67, 0.89]","0.05 [0.04, 0.07]","0.84 [0.78, 0.93]","0.15 [0.06, 0.21]","0.01 [0.00, 0.02]","-0.12 [-0.32, 0.05]","0.03 [-0.01, 0.09]","-0.13 [-0.40, 0.18]","-0.07 [-0.17, 0.04]","0.20 [-0.01, 0.46]"
2154,bi_fof_muscimol,"0.45 [0.42, 0.49]","0.06 [0.04, 0.08]","0.90 [0.83, 0.97]","0.04 [0.02, 0.06]","0.06 [0.00, 0.12]","-0.08 [-0.20, 0.03]","0.03 [-0.01, 0.10]","-0.09 [-0.31, 0.14]","-0.03 [-0.06, -0.01]","0.12 [-0.10, 0.34]"
2155,bi_fof_muscimol,"0.39 [0.36, 0.42]","0.05 [0.04, 0.06]","0.90 [0.78, 0.96]","0.05 [0.03, 0.07]","0.06 [0.01, 0.16]","-0.06 [-0.17, 0.03]","0.03 [-0.01, 0.08]","-0.08 [-0.29, 0.18]","-0.04 [-0.06, -0.01]","0.12 [-0.14, 0.33]"
2156,bi_fof_muscimol,"0.47 [0.44, 0.50]","0.02 [0.01, 0.03]","0.74 [0.69, 0.78]","0.14 [0.12, 0.17]","0.12 [0.08, 0.16]","-0.08 [-0.20, 0.03]","0.01 [-0.00, 0.04]","-0.15 [-0.45, 0.25]","-0.12 [-0.15, -0.09]","0.27 [-0.13, 0.58]"
2160,bi_fof_muscimol,"0.60 [0.55, 0.66]","0.03 [0.02, 0.04]","0.78 [0.74, 0.83]","0.18 [0.14, 0.22]","0.03 [0.01, 0.06]","-0.10 [-0.25, 0.04]","0.02 [-0.01, 0.05]","-0.15 [-0.44, 0.21]","-0.13 [-0.19, -0.06]","0.28 [-0.03, 0.56]"
2165,bi_fof_muscimol,"0.45 [0.42, 0.48]","0.03 [0.01, 0.05]","0.89 [0.83, 0.94]","0.06 [0.03, 0.09]","0.05 [0.01, 0.11]","-0.07 [-0.19, 0.03]","0.02 [-0.01, 0.05]","-0.12 [-0.36, 0.12]","-0.05 [-0.07, -0.02]","0.17 [-0.07, 0.41]"
2166,bi_fof_muscimol,"0.47 [0.42, 0.51]","0.04 [0.02, 0.05]","0.90 [0.84, 0.94]","0.08 [0.04, 0.12]","0.03 [0.00, 0.06]","-0.08 [-0.19, 0.03]","0.02 [-0.01, 0.07]","-0.12 [-0.35, 0.11]","-0.06 [-0.10, -0.02]","0.18 [-0.03, 0.41]"
2152,uni_fof_muscimol,"0.66 [0.60, 0.73]","0.05 [0.04, 0.06]","0.84 [0.79, 0.88]","0.14 [0.10, 0.18]","0.02 [0.01, 0.04]","-0.06 [-0.09, -0.02]","0.02 [0.00, 0.03]","-0.04 [-0.09, 0.01]","0.01 [-0.03, 0.04]","0.03 [0.01, 0.06]"
2153,uni_fof_muscimol,"0.73 [0.66, 0.85]","0.05 [0.04, 0.06]","0.83 [0.77, 0.91]","0.15 [0.07, 0.21]","0.02 [0.01, 0.03]","-0.06 [-0.10, -0.03]","0.02 [0.00, 0.03]","-0.04 [-0.08, 0.01]","0.01 [-0.02, 0.04]","0.03 [0.01, 0.06]"
2154,uni_fof_muscimol,"0.46 [0.43, 0.50]","0.07 [0.05, 0.08]","0.93 [0.85, 0.97]","0.04 [0.02, 0.06]","0.04 [0.00, 0.10]","-0.04 [-0.06, -0.02]","0.02 [0.01, 0.04]","-0.02 [-0.05, 0.00]","-0.01 [-0.02, 0.01]","0.02 [0.00, 0.06]"
2155,uni_fof_muscimol,"0.38 [0.36, 0.41]","0.05 [0.04, 0.06]","0.88 [0.78, 0.95]","0.05 [0.03, 0.07]","0.07 [0.01, 0.16]","-0.03 [-0.05, -0.01]","0.02 [0.01, 0.03]","-0.03 [-0.08, 0.01]","-0.01 [-0.03, 0.01]","0.04 [0.01, 0.10]"
2156,uni_fof_muscimol,"0.48 [0.45, 0.50]","0.02 [0.01, 0.03]","0.74 [0.70, 0.78]","0.15 [0.13, 0.17]","0.11 [0.07, 0.15]","-0.04 [-0.06, -0.02]","0.01 [0.00, 0.01]","-0.05 [-0.11, 0.01]","-0.03 [-0.06, 0.00]","0.08 [0.02, 0.14]"
2160,uni_fof_muscimol,"0.62 [0.57, 0.66]","0.03 [0.01, 0.04]","0.78 [0.74, 0.82]","0.19 [0.15, 0.22]","0.03 [0.02, 0.06]","-0.05 [-0.08, -0.02]","0.01 [0.00, 0.02]","-0.04 [-0.10, 0.01]","0.00 [-0.04, 0.04]","0.04 [0.01, 0.08]"
2165,uni_fof_muscimol,"0.46 [0.43, 0.49]","0.04 [0.03, 0.05]","0.90 [0.85, 0.95]","0.06 [0.03, 0.08]","0.04 [0.01, 0.09]","-0.04 [-0.06, -0.02]","0.01 [0.00, 0.02]","-0.02 [-0.06, 0.01]","-0.01 [-0.03, 0.01]","0.03 [0.01, 0.07]"
2166,uni_fof_muscimol,"0.46 [0.42, 0.51]","0.03 [0.01, 0.05]","0.90 [0.85, 0.94]","0.07 [0.04, 0.10]","0.03 [0.01, 0.07]","-0.04 [-0.06, -0.02]","0.01 [0.00, 0.02]","-0.02 [-0.06, 0.01]","-0.01 [-0.03, 0.01]","0.03 [0.01, 0.07]"
2152,bi_ppc_muscimol,"0.64 [0.58, 0.70]","0.05 [0.04, 0.06]","0.82 [0.77, 0.86]","0.15 [0.11, 0.19]","0.03 [0.02, 0.05]","-0.02 [-0.07, 0.03]","0.00 [-0.01, 0.02]","0.02 [-0.04, 0.07]","-0.05 [-0.09, -0.00]","0.03 [-0.00, 0.07]"
2153,bi_ppc_muscimol,"0.74 [0.66, 0.87]","0.05 [0.04, 0.07]","0.85 [0.79, 0.95]","0.14 [0.05, 0.20]","0.01 [0.00, 0.02]","-0.03 [-0.08, 0.03]","0.01 [-0.01, 0.02]","0.02 [-0.03, 0.07]","-0.03 [-0.07, 0.01]","0.01 [0.00, 0.04]"
2154,bi_ppc_muscimol,"0.45 [0.42, 0.49]","0.06 [0.04, 0.07]","0.90 [0.83, 0.97]","0.05 [0.02, 0.07]","0.05 [0.00, 0.11]","-0.02 [-0.05, 0.02]","0.01 [-0.01, 0.02]","0.01 [-0.02, 0.05]","-0.02 [-0.04, -0.00]","0.01 [-0.02, 0.04]"
2155,bi_ppc_muscimol,"0.38 [0.36, 0.41]","0.05 [0.04, 0.06]","0.89 [0.79, 0.95]","0.05 [0.04, 0.07]","0.05 [0.00, 0.15]","-0.01 [-0.04, 0.02]","0.01 [-0.01, 0.02]","0.01 [-0.02, 0.05]","-0.02 [-0.04, -0.00]","0.01 [-0.02, 0.05]"
2156,bi_ppc_muscimol,"0.48 [0.45, 0.51]","0.02 [0.01, 0.03]","0.74 [0.69, 0.78]","0.14 [0.12, 0.17]","0.12 [0.08, 0.16]","-0.02 [-0.05, 0.02]","0.00 [-0.00, 0.01]","0.02 [-0.05, 0.09]","-0.07 [-0.11, -0.03]","0.05 [-0.02, 0.12]"
2160,bi_ppc_muscimol,"0.60 [0.56, 0.65]","0.03 [0.02, 0.04]","0.79 [0.74, 0.83]","0.18 [0.15, 0.22]","0.03 [0.01, 0.05]","-0.02 [-0.06, 0.02]","0.00 [-0.01, 0.01]","0.02 [-0.05, 0.08]","-0.05 [-0.10, -0.00]","0.03 [0.00, 0.08]"
2165,bi_ppc_muscimol,"0.46 [0.43, 0.49]","0.04 [0.03, 0.05]","0.92 [0.86, 0.96]","0.04 [0.02, 0.07]","0.04 [0.01, 0.09]","-0.02 [-0.05, 0.02]","0.00 [-0.01, 0.01]","0.01 [-0.02, 0.04]","-0.02 [-0.04, -0.00]","0.01 [-0.01, 0.04]"
2166,bi_ppc_muscimol,"0.47 [0.43, 0.52]","0.04 [0.03, 0.06]","0.92 [0.87, 0.96]","0.07 [0.04, 0.11]","0.01 [0.00, 0.04]","-0.02 [-0.05, 0.02]","0.00 [-0.01, 0.02]","0.01 [-0.02, 0.04]","-0.02 [-0.05, 0.00]","0.01 [-0.00, 0.04]"
2152,uni_ppc_muscimol,"0.61 [0.56, 0.67]","0.05 [0.04, 0.06]","0.83 [0.79, 0.87]","0.14 [0.11, 0.18]","0.03 [0.02, 0.04]","0.01 [-0.02, 0.04]","0.00 [-0.01, 0.01]","-0.00 [-0.04, 0.04]","-0.03 [-0.06, 0.00]","0.03 [0.01, 0.05]"
2153,uni_ppc_muscimol,"0.73 [0.66, 0.86]","0.05 [0.04, 0.06]","0.83 [0.78, 0.92]","0.16 [0.07, 0.22]","0.01 [0.00, 0.01]","0.01 [-0.02, 0.05]","0.00 [-0.01, 0.01]","-0.00 [-0.04, 0.03]","-0.01 [-0.04, 0.03]","0.01 [0.00, 0.02]"
2154,uni_ppc_muscimol,"0.46 [0.43, 0.50]","0.06 [0.05, 0.08]","0.92 [0.85, 0.97]","0.03 [0.02, 0.06]","0.05 [0.00, 0.10]","0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","0.00 [-0.02, 0.02]","-0.01 [-0.03, -0.00]","0.01 [-0.00, 0.04]"
2155,uni_ppc_muscimol,"0.38 [0.36, 0.41]","0.06 [0.04, 0.07]","0.90 [0.79, 0.95]","0.06 [0.04, 0.07]","0.05 [0.00, 0.15]","0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","-0.00 [-0.03, 0.03]","-0.02 [-0.04, 0.00]","0.02 [0.00, 0.05]"
2156,uni_ppc_muscimol,"0.48 [0.45, 0.52]","0.02 [0.01, 0.03]","0.71 [0.66, 0.76]","0.15 [0.12, 0.17]","0.14 [0.10, 0.18]","0.01 [-0.01, 0.03]","0.00 [-0.00, 0.00]","-0.00 [-0.05, 0.05]","-0.06 [-0.09, -0.03]","0.06 [0.01, 0.11]"
2160,uni_ppc_muscimol,"0.59 [0.55, 0.64]","0.03 [0.02, 0.04]","0.79 [0.75, 0.83]","0.18 [0.15, 0.22]","0.02 [0.01, 0.04]","0.01 [-0.02, 0.04]","0.00 [-0.00, 0.01]","-0.00 [-0.04, 0.04]","-0.02 [-0.06, 0.01]","0.02 [0.01, 0.05]"
2165,uni_ppc_muscimol,"0.46 [0.43, 0.49]","0.04 [0.03, 0.05]","0.89 [0.83, 0.94]","0.05 [0.02, 0.07]","0.07 [0.02, 0.12]","0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","-0.00 [-0.03, 0.03]","-0.02 [-0.04, -0.01]","0.02 [-0.00, 0.05]"
2166,uni_ppc_muscimol,"0.48 [0.44, 0.53]","0.04 [0.03, 0.06]","0.92 [0.88, 0.96]","0.07 [0.03, 0.10]","0.01 [0.00, 0.03]","0.01 [-0.01, 0.03]","0.00 [-0.01, 0.01]","-0.00 [-0.02, 0.02]","-0.01 [-0.03, 0.01]","0.01 [0.00, 0.03]"
