"sessid","drug","volume","concentration","infusion","infusion_bino","region","dosage","infusion_side","fof_ppc","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","subjid","trialtime","individual","species_name","species","forced","forced_surebet","forced_lottery","is_side_choice","total_rew_multi","delta_ev","prev_reward","choice","prev_choice","prev_outcome_s","prev_outcome","log_RT","lottery_side","pro_right_delta_ev","choose_right"
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484747,0,0.55,3,1,"BotR","BotL","surebet",2.80246,3.0042,24,"lose",17,1,17,48,0,3,3.07927,0,0,24,17,2.80246,2152,"2020-08-13 14:15:16.9859",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,1.52330104149323,"BotR",-24,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484753,4,0.55,3,1,"BotR","BotL","surebet",0.767183,1.04666,24,"lose",18,1,18,48,0,2,3.44971,0,0,24,18,0.767183,2152,"2020-08-13 14:15:30.7619",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,0,0,"surebet",0,0.227773524444623,"BotR",-6.4,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484759,32,0.55,3,1,"BotR","BotL","lottery",0.666528,0.497739,256,"win",19,1,19,48,0,1,6.87284,0,0,256,19,0.666528,2152,"2020-08-13 14:15:47.6335",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,24,1,0,"surebet",0,0.0871303088583066,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484767,0,0.55,3,1,"BotR","BotL","surebet",0.343795,9.18875,24,"lose",20,1,20,48,0,0,5.7424,0,0,24,20,0.343795,2152,"2020-08-13 14:16:09.6340",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,256,0,1,"lottery_win",1,-0.574906290876823,"BotR",-24,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484773,0,0.55,3,1,"BotR","BotL","surebet",0.531662,0.496989,24,"win",21,1,21,48,0,1,6.5874,0,0,24,21,0.531662,2152,"2020-08-13 14:16:24.2276",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,24,0,0,"surebet",0,-0.13894389129782,"BotR",-24,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484783,8,0.55,3,1,"BotR","BotL","surebet",0.901098,13.2027,24,"win",22,1,22,48,0,1,3.99998,0,0,24,22,0.901098,2152,"2020-08-13 14:16:49.6761",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,0,0,"surebet",0,0.388662179348374,"BotR",11.2,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484789,4,0.55,3,1,"BotR","BotL","lottery",0.339957,0.154629,32,"win",23,1,23,48,0,1,6.98449,0,0,32,23,0.339957,2152,"2020-08-13 14:17:02.0427",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-6.4,24,1,0,"surebet",0,-0.586132701356773,"BotR",-6.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484793,0,0.55,3,1,"BotR","BotL","surebet",1.13011,0.488135,24,"win",24,1,24,48,0,2,7.40154,0,0,24,24,1.13011,2152,"2020-08-13 14:17:15.3734",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,-24,32,0,1,"lottery_win",1,0.615118411720733,"BotR",-24,0
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484797,8,0.55,3,1,"BotR","BotL","lottery",0.398871,0.183757,0,"lose",25,1,25,48,0,1,6.44072,0,0,0,25,0.398871,2152,"2020-08-13 14:17:28.6141",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,11.2,24,1,0,"surebet",0,-0.426313784036866,"BotR",11.2,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484811,32,0.55,3,1,"BotR","BotL","lottery",0.574851,0.193958,256,"win",27,1,27,48,0,1,3.42168,0,0,256,27,0.574851,2152,"2020-08-13 14:17:53.5697",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,116.8,32,1,1,"lottery_win",1,-0.0608409635981906,"BotR",116.8,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484813,16,0.55,3,1,"BotR","BotL","lottery",0.540765,10.2599,0,"lose",28,1,28,48,0,1,5.11084,0,0,0,28,0.540765,2152,"2020-08-13 14:18:15.7172",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,256,1,1,"lottery_win",1,-0.121967036681184,"BotR",46.4,1
163745,"muscimol",0.3,1,"infusion",1,"Left PPC",0.3,"L",NA,20484815,16,0.55,3,1,"BotR","BotL","lottery",0.573099,0.15289,128,"win",29,1,29,48,0,1,4.39979,0,0,128,29,0.573099,2152,"2020-08-13 14:18:27.1980",1,"rat",2,FALSE,FALSE,FALSE,FALSE,8,46.4,0,1,1,"lottery_lose",-1,-0.0638933637206753,"BotR",46.4,1
