n,Pearson,Spearman
32,0.6245722657290286,0.7892606202324225
32,0.6077815288883941,0.7172791501380502
32,0.1954538568263206,0.22017032829257116
32,0.6789221726060979,0.8223636446398147
32,0.24015720292959195,0.2786288607566896
32,0.6062776988991883,0.7138984157304866
32,0.5870831663981066,0.7339010943085705
32,0.4932363003111031,0.5848670525084808
32,0.5867219097761599,0.6465654554465141
32,0.6818478884077815,0.5520457559683855
32,0.3104156710341539,0.522464329902205
32,0.5082716265430398,0.529507526584629
32,0.6400157760586553,0.7961629529811979
32,0.42814508727269024,0.5735979378166025
32,0.32197394898137854,0.5180975479591022
32,0.19181876576272672,0.34708873250984984
32,0.5027264967339247,0.6221959949253275
32,0.6307576802535414,0.7813722399481077
32,0.4879569056183878,0.6300843752096423
32,0.3995142986242832,0.3523006980548436
32,0.49453657523352407,0.5637374624612091
32,0.5025216980377483,0.6131807031718248
32,0.7772043393255218,0.7122080485267049
32,0.5628366436770365,0.650932237389617
32,0.5253405144591039,0.5172523643572113
32,0.40868274869354393,0.17058622364830692
32,0.31228305692986963,0.3420176308985047
32,0.37736291641055714,0.4607659269641716
32,0.5894273911292067,0.6285348719395091
32,0.6812005136727793,0.5820497738355113
32,0.5719465359163958,0.6712166438349979
32,0.5514269810000869,0.6492418701858353
32,0.5496468779995796,0.5878251951150989
32,0.47504792713783944,0.5665547411341786
32,0.46316685550698006,0.5388045462054285
32,0.4096980410495762,0.41273132559004067
32,0.5256849606157795,0.5689494280062029
32,0.19810371623970588,0.35680834393159483
32,0.5670578093836286,0.7074186747826566
32,0.6012458492936998,0.7377044205170795
32,0.4171493893946397,0.4496376762059419
32,0.47262619857562616,0.6082504654941282
32,0.2645091040598986,0.27228998374250807
32,0.49167299173765266,0.6159979818447945
32,0.2699325889906947,0.36807745862347313
32,0.6709046140525783,0.7282665369626314
32,0.4570446018570924,0.3404681276283714
32,0.3447666396987479,0.31553521137259083
32,0.4988643750933657,0.5110543512766783
32,0.3989534680564763,0.6520591488588048
64,0.4555515681971684,0.6138850228400673
64,0.6911761180784681,0.6988259748300996
64,0.4821490836803405,0.5489467494281189
64,0.45879713154131935,0.3893479126043933
64,0.5458428086162361,0.6853030371998456
64,0.6709233948224685,0.7360140533132978
64,0.5972289750789687,0.7010797977684752
64,0.6067854797939004,0.7385496041189703
64,0.5803736054307649,0.7519316778155758
64,0.40911227539581735,0.5221826020349081
64,0.6425772179815916,0.811235393881585
64,0.7661234524196575,0.8532128461088315
64,0.47106471640679276,0.4927420399023762
64,0.625417228070387,0.7644685679102903
64,0.5728890944929416,0.6064192343566979
64,0.27232536485975006,0.39399642241479305
64,0.662280975286806,0.7810905120808107
64,0.6857703432684824,0.8106719381469911
64,0.37378026653195123,0.48386761208252205
64,0.5572807687936903,0.705728307578875
64,0.5928452212370183,0.6547355635981259
64,0.5135453387668965,0.4531592745471538
64,0.4592189353945462,0.5521866199020339
64,0.6920315700664632,0.7957403611802524
64,0.657080884644992,0.7458745286686912
64,0.15659721369345023,0.23693313639674005
64,0.6337572116586035,0.8084181152086154
64,0.42513923270411896,0.5651461017976939
64,0.5191369794980772,0.6955861043561846
64,0.7206089829928991,0.8437749625543834
64,0.6224974341194831,0.7963038169148464
64,0.31015526630055495,0.3932921027465507
64,0.49195323808176605,0.5220417381012596
64,0.6744896050275803,0.8108128020806397
64,0.6635055922847051,0.7933456743082283
64,0.5466033475373553,0.6696671405648646
64,0.4872547147930064,0.6630465356833861
64,0.3611633460946521,0.25538631170469067
64,0.5220822508824959,0.6893880912756516
64,0.6215700949956893,0.7660180711804235
64,0.5032951765904032,0.634451157152745
64,0.36071540952337744,0.5393680019400223
64,0.5624650899494429,0.5703580673426876
64,0.6560529421732159,0.7533403171520605
64,0.5754755428739955,0.7081229944508991
64,0.5574770455756062,0.7422120663938309
64,0.5410324478297043,0.6729070110387796
64,0.7955547255249251,0.7269987615597951
64,0.3237862401443311,0.4980948693810183
64,0.6021723644191651,0.6958678322234816
1024,0.8708601119130022,0.9408302128381848
1024,0.8153382874101882,0.9418162603737241
1024,0.8609055572421053,0.9344913358240032
1024,0.8886688657516327,0.9325192407529246
1024,0.8909933087568537,0.9568887012741113
1024,0.8623917830567682,0.9460421783831785
1024,0.8001445632918827,0.9551983340703295
1024,0.8236313504178016,0.9373086144969729
1024,0.8882825303503309,0.9506906881935784
1024,0.8298293091101615,0.9474508177196632
1024,0.8047530620358289,0.9358999751604881
1024,0.8122697776000043,0.9440700833120999
1024,0.8908027271667313,0.959142524212487
1024,0.8689816468462594,0.9516767357291177
1024,0.8116762856180079,0.9350547915585972
1024,0.8441638091338296,0.968580407766935
1024,0.8273317971179726,0.9584382045442446
1024,0.8905862976053457,0.9675943602313957
1024,0.8104529280248775,0.9506906881935784
1024,0.8351425526510954,0.962100666819105
1024,0.8042844494479366,0.9536488308001964
1024,0.7477064629512196,0.9360408390941365
1024,0.8785866659375432,0.9667491766295048
1024,0.8202257587754715,0.936181703027785
1024,0.795686688456174,0.9367451587623788
1024,0.7945679557667655,0.9130800179094346
1024,0.8897629879528821,0.9690029995678804
1024,0.8459204864562989,0.9608328914162687
1024,0.7476754909714242,0.9522401914637115
1024,0.8921183151098129,0.9635093061555897
1024,0.8309622260422651,0.9550574701366811
1024,0.8480813361334535,0.9592833881461355
1024,0.8035819354207262,0.9278707309425248
1024,0.8111618503442138,0.9504089603262814
1024,0.8339577648474952,0.9605511635489717
1024,0.8347270438001712,0.949422912790742
1024,0.8214842274817882,0.9367451587623788
1024,0.8929303812643086,0.9474508177196632
1024,0.8179713817206635,0.9419571243073727
1024,0.8909512509907649,0.9470282259187178
1024,0.8248776140196521,0.9454787226485846
1024,0.8109719214296095,0.9444926751130452
1024,0.8991776119938314,0.9568887012741113
1024,0.8692828732876428,0.9395624374353485
1024,0.8370637826743119,0.9440700833120999
1024,0.8643520124402031,0.9358999751604881
1024,0.8981763236973237,0.9554800619376265
1024,0.8119469744192821,0.9592833881461355
1024,0.8570322923605004,0.9484368652552027
1024,0.8681742476368656,0.9592833881461355
2048,0.888719859494302,0.9795677945915163
2048,0.8561857373225141,0.9780182913213831
2048,0.81838657677978,0.9687212717005834
2048,0.8979128737452399,0.9582973406105961
2048,0.8061224690421969,0.9597059799470808
2048,0.8897611449842197,0.9632275782882928
2048,0.7915043851713215,0.952662783264657
2048,0.8635661720511789,0.9732289175773348
2048,0.8464251092579583,0.9749192847811164
2048,0.8415197240725661,0.9733697815109833
2048,0.8777007343631024,0.9733697815109833
2048,0.8691207268369633,0.9829485289990797
2048,0.8930696638315244,0.9842163044019161
2048,0.8700384167161225,0.9739332372455771
2048,0.8619003247260274,0.9773139716531407
2048,0.8684678128856254,0.975060148714765
2048,0.836805586012209,0.9663265848285594
2048,0.8971288937871585,0.9616780750181595
2048,0.8896708542215124,0.9798495224588133
2048,0.8505628904952466,0.9749192847811164
2048,0.8683505857883307,0.9787226109896254
2048,0.8834340725557436,0.9705525028380138
2048,0.8891592695820225,0.9798495224588133
2048,0.8476914580030743,0.9709750946389591
