trial_cutoff,p_value
15,3.199470020633707e-5
20,1.6809676748533526e-5
25,1.2828166047892258e-6
30,1.368001624029948e-5
35,3.876797632604914e-6
40,2.993890421270078e-5
45,1.2696367338849472e-5
50,0.0012396238075212428
55,0.0013380279962492627
60,0.019590553598917704
65,0.036242809182206424
70,0.0029034347657379
75,0.03096396600468127
80,0.08843567495835977
85,0.18412722133774787
90,0.18711880439952772
95,0.23274589135534288
100,0.2022123523087996
105,0.14067188782670745
110,0.13393075882496167
