"","trialid","lottery_mag","lottery_prob","sb_mag","fixation_time","lottery_poke","surebet_poke","subj_choice","RT_choice","RT_fixation","reward_received","lottery_outcome","trial_in_block","block_number","trial_number","block_length","ex_fixation","ex_choice","ITI","ex_ITI","viol","reward","trialnum","RT","sessid","subjid","trialtime","infusion_sessid","region","volume","concentration","drug","cntrl"
"20",23824187,0,0.5,3,1,NA,"BotL","surebet",0.620796978473663,9.82802677154541,36,"win",20,1,20,72,0,1,5.80063152313232,0,0,36,20,0.620796978473663,194285,2155,2021-01-06 06:55:31,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"21",23824221,16,0.5,3,1,"BotR","BotL","surebet",0.407588988542557,13.6297359466553,36,"win",21,1,21,72,0,0,6.04551696777344,0,0,36,21,0.407588988542557,194285,2155,2021-01-06 06:55:56,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"22",23824265,8,0.5,3,1,"BotR","BotL","surebet",0.510856986045837,33.5704650878906,36,"win",22,1,22,72,0,1,6.20393514633179,0,0,36,22,0.510856986045837,194285,2155,2021-01-06 06:56:41,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"23",23824277,4,0.5,3,1,"BotR","BotL","surebet",0.588941991329193,0.489926993846893,36,"lose",23,1,23,72,0,1,5.24851989746094,0,0,36,23,0.588941991329193,194285,2155,2021-01-06 06:56:52,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"24",23824289,2,0.5,3,1,NA,"BotL","surebet",0.383224993944168,1.08689403533936,36,"win",24,1,24,72,0,0,6.70994520187378,0,0,36,24,0.383224993944168,194285,2155,2021-01-06 06:57:04,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"25",23824303,8,0.5,3,1,"BotR","BotL","surebet",0.507166981697083,0.441080003976822,36,"lose",25,1,25,72,0,1,6.0519061088562,0,0,36,25,0.507166981697083,194285,2155,2021-01-06 06:57:16,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"26",23824321,8,0.5,3,1,NA,NA,"right",2.5421929359436,0.396405011415482,72,"win",26,1,26,72,0,1,7.22872161865234,0,0,72,26,2.5421929359436,194285,2155,2021-01-06 06:57:31,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"27",23824339,16,0.5,3,1,"BotR","BotL","lottery",0.372983008623123,2.21782302856445,192,"win",27,1,27,72,0,0,8.68143558502197,0,0,192,27,0.372983008623123,194285,2155,2021-01-06 06:57:49,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"28",23824355,2,0.5,3,1,NA,NA,"right",3.47539091110229,0.599727988243103,72,"lose",28,1,28,72,0,2,6.25817060470581,0,0,72,28,3.47539091110229,194285,2155,2021-01-06 06:58:04,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"29",23824365,0,0.5,3,1,"BotR","BotL","lottery",0.750976026058197,0.536895990371704,0,"win",29,1,29,72,0,1,5.7200403213501,0,0,0,29,0.750976026058197,194285,2155,2021-01-06 06:58:17,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"30",23824407,16,0.5,3,1,"BotR","BotL","lottery",0.549786984920502,27.6869773864746,0,"lose",30,1,30,72,0,0,6.87804698944092,2,0,0,30,0.549786984920502,194285,2155,2021-01-06 06:58:59,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"31",23824421,16,0.5,3,1,NA,NA,"right",1.54946303367615,1.01626300811768,72,"lose",31,1,31,72,0,3,6.70171689987183,0,0,72,31,1.54946303367615,194285,2155,2021-01-06 06:59:14,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
"32",23824439,16,0.5,3,1,NA,NA,"right",1.09894502162933,0.995621025562286,72,"win",32,1,32,72,0,1,5.20662355422974,0,0,72,32,1.09894502162933,194285,2155,2021-01-06 06:59:28,194441,"Right FOF + Right PPC",0.45,2,"muscimol",1
